case_id;province;city;group;infection_case;confirmed;latitude;longitude
1500004;Daejeon;Seo-gu;VERDADERO;Dreaming Church;4;36,346,869;127,368,594
1500005;Daejeon;Seo-gu;VERDADERO;Korea Forest Engineer Institute;3;36,358,123;127,388,856
1500006;Daejeon;from other city;VERDADERO;Shincheonji Church;2;-;-
1500007;Daejeon;from other city;VERDADERO;Seosan-si Laboratory;2;-;-
1500008;Daejeon;-;FALSO;overseas inflow;15;-;-
1500009;Daejeon;-;FALSO;contact with patient;15;-;-
1500010;Daejeon;-;FALSO;etc;15;-;-
1600001;Ulsan;from other city;VERDADERO;Shincheonji Church;16;-;-
1600002;Ulsan;-;FALSO;overseas inflow;25;-;-
1600003;Ulsan;-;FALSO;contact with patient;3;-;-
1600004;Ulsan;-;FALSO;etc;7;-;-
1700001;Sejong;Sejong;VERDADERO;Ministry of Oceans and Fisheries;31;36,504,713;127,265,172
1700002;Sejong;Sejong;VERDADERO;gym facility in Sejong;8;3,648,025;127,289
1700003;Sejong;from other city;VERDADERO;Shincheonji Church;1;-;-
1700004;Sejong;-;FALSO;overseas inflow;5;-;-
1700005;Sejong;-;FALSO;contact with patient;3;-;-
1700006;Sejong;-;FALSO;etc;1;-;-
2000001;Gyeonggi-do;Seongnam-si;VERDADERO;River of Grace Community Church;67;37,455,687;127,161,627
2000002;Gyeonggi-do;Bucheon-si;VERDADERO;Coupang Logistics Center;67;37,530,579;126,775,254
2000003;Gyeonggi-do;from other city;VERDADERO;Itaewon Clubs;59;-;-
2000004;Gyeonggi-do;from other city;VERDADERO;Richway;58;-;-
2000005;Gyeonggi-do;Uijeongbu-si;VERDADERO;Uijeongbu St. Mary’s Hospital;50;37,758,635;127,077,716
2000006;Gyeonggi-do;from other city;VERDADERO;Guro-gu Call Center;50;-;-
2000007;Gyeonggi-do;from other city;VERDADERO;Shincheonji Church;29;-;-
2000008;Gyeonggi-do;from other city;VERDADERO;Yangcheon Table Tennis Club;28;-;-
2000009;Gyeonggi-do;-;VERDADERO;SMR Newly Planted Churches Group;25;-;-
